Text	POS	Dep	Head
que	SCONJ	mark	atteignissent
leurs	DET	det	armes
armes	NOUN	nsubj	atteignissent
atteignissent	VERB	ROOT	atteignissent
un	DET	det	degré
plus	ADV	advmod	haut
haut	ADJ	amod	degré
degré	NOUN	obj	atteignissent
de	ADP	case	perfection
perfection	NOUN	nmod	degré
,	PUNCT	punct	atteignissent
mais	CCONJ	cc	offrirent
elles	PRON	nsubj	offrirent
offrirent	ADV	conj	atteignissent
des	DET	det	dimensions
dimensions	NOUN	obj	offrirent
inusitées	VERB	acl	dimensions
,	PUNCT	punct	dimensions
et	CCONJ	cc	eurent
eurent	ADV	conj	dimensions
par	ADP	case	conséquent
conséquent	NOUN	obl:mod	eurent
des	ADP	case	portées
portées	NOUN	nmod	conséquent
inconnues	ADJ	amod	portées
jusqu'	ADP	case	alors
alors	ADV	nmod	portées
.	PUNCT	punct	atteignissent
En	ADP	case	fait
fait	NOUN	nmod	Anglais
de	ADP	case	tirs
tirs	NOUN	nmod	fait
rasants	NOUN	nmod	fait
,	PUNCT	punct	plongeants
plongeants	ADJ	conj	rasants
ou	CCONJ	cc	fouet
de	ADP	case	fouet
plein	ADJ	amod	fouet
fouet	NOUN	conj	rasants
,	PUNCT	punct	feux
de	ADP	case	feux
feux	ADJ	conj	fait
d'	ADP	case	écharpe
écharpe	NOUN	nmod	feux
,	PUNCT	punct	enfilade
d'	ADP	case	enfilade
enfilade	NOUN	conj	fait
ou	CCONJ	cc	revers
de	ADP	case	revers
revers	NOUN	conj	enfilade
,	PUNCT	punct	Anglais
les	DET	det	Anglais
Anglais	PROPN	nsubj	ont
,	PUNCT	punct	ont
les	DET	det	Français
Français	NOUN	nsubj	ont
,	PUNCT	punct	Prussiens
les	DET	det	Prussiens
Prussiens	NOUN	conj	Français
,	PUNCT	punct	ont
n'	ADV	advmod	ont
ont	VERB	ROOT	ont
plus	ADV	advmod	ont
rien	PRON	obj	ont
à	ADP	mark	apprendre
apprendre	VERB	acl	rien
;	PUNCT	punct	ont
mais	CCONJ	cc	canons
leurs	DET	det	canons
canons	NOUN	obl:mod	sont
,	PUNCT	punct	sont
leurs	DET	det	obusiers
obusiers	NOUN	nsubj	sont
,	PUNCT	punct	sont
leurs	DET	det	mortiers
mortiers	NOUN	nsubj	sont
ne	ADV	advmod	sont
sont	VERB	conj	ont
que	ADV	advmod	pistolets
des	DET	det	pistolets
pistolets	NOUN	obj	sont
de	ADP	case	poche
poche	NOUN	nmod	pistolets
auprès	ADV	advmod	sont
des	ADP	case	formidables
formidables	ADJ	obl:arg	auprès
engins	NOUN	nmod	formidables
de	ADP	case	artillerie
l'	DET	det	artillerie
artillerie	NOUN	nmod	engins
américaine	ADJ	amod	artillerie
.	PUNCT	punct	ont
Ceci	PRON	nsubj	doit
ne	ADV	advmod	doit
doit	VERB	ROOT	doit
étonner	VERB	xcomp	doit
personne	NOUN	obj	étonner
.	PUNCT	punct	doit
Les	DET	det	Yankees
Yankees	PROPN	nsubj	ingénieurs
,	PUNCT	punct	Yankees
ces	DET	det	mécaniciens
premiers	ADJ	amod	mécaniciens
mécaniciens	NOUN	appos	Yankees
du	ADP	case	monde
monde	NOUN	nmod	mécaniciens
,	PUNCT	punct	Yankees
sont	AUX	cop	ingénieurs
ingénieurs	ADJ	ROOT	ingénieurs
,	PUNCT	punct	ingénieurs
comme	ADP	case	Italiens
les	DET	det	Italiens
Italiens	NOUN	nsubj	musiciens
sont	AUX	cop	musiciens
musiciens	ADJ	advcl	ingénieurs
et	CCONJ	cc	Allemands
les	DET	det	Allemands
Allemands	NOUN	conj	ingénieurs
métaphysiciens	NOUN	amod	Allemands
,	PUNCT	punct	Allemands
--	PUNCT	punct	.
de	ADP	case	naissance
naissance	NOUN	nmod	--
.	PUNCT	ROOT	.
Rien	PRON	ROOT	Rien
de	ADP	case	naturel
plus	ADV	advmod	naturel
naturel	ADJ	nmod	Rien
,	PUNCT	punct	Rien
dès	ADP	advmod	Rien
lors	ADV	fixed	dès
,	PUNCT	punct	Rien
que	SCONJ	mark	voir
de	ADP	mark	voir
les	PRON	obj	voir
voir	VERB	acl	Rien
apporter	VERB	xcomp	voir
dans	ADP	case	science
la	DET	det	science
science	NOUN	obl:mod	apporter
de	ADP	case	balistique
la	DET	det	balistique
balistique	NOUN	nmod	science
leur	DET	det	ingéniosité
audacieuse	ADJ	amod	ingéniosité
ingéniosité	NOUN	acl	science
.	PUNCT	punct	Rien
De	ADP	case	canons
là	ADV	fixed	De
ces	DET	det	canons
canons	NOUN	ROOT	canons
gigantesques	ADJ	amod	canons
,	PUNCT	punct	canons
beaucoup	ADV	advmod	moins
moins	ADV	advmod	utiles
utiles	ADJ	amod	canons
que	SCONJ	mark	machines
les	DET	det	machines
machines	NOUN	dep	utiles
à	ADP	case	coudre
coudre	VERB	nmod	machines
,	PUNCT	punct	machines
mais	CCONJ	cc	étonnants
aussi	ADV	advmod	étonnants
étonnants	NOUN	conj	machines
et	CCONJ	cc	admirés
encore	ADV	advmod	plus
plus	ADV	advmod	admirés
admirés	ADJ	conj	étonnants
.	PUNCT	punct	canons
On	PRON	nsubj	connaît
connaît	VERB	ROOT	connaît
en	ADP	case	genre
ce	DET	det	genre
genre	NOUN	obl:arg	connaît
les	DET	det	merveilles
merveilles	NOUN	nmod	genre
de	ADP	case	Parrott
Parrott	PROPN	nmod	merveilles
,	PUNCT	punct	Dahlgreen
de	ADP	case	Dahlgreen
Dahlgreen	PROPN	conj	merveilles
,	PUNCT	punct	genre
de	ADP	case	Rodman
Rodman	PROPN	nmod	genre
.	PUNCT	punct	connaît
Les	DET	det	Armstrong
Armstrong	PROPN	nsubj	eurent
,	PUNCT	punct	eurent
les	DET	det	Pallisser
Pallisser	NOUN	nsubj	eurent
et	CCONJ	cc	Treuille
les	DET	det	Treuille
Treuille	NOUN	conj	Pallisser
de	ADP	case	Beaulieu
Beaulieu	PROPN	nmod	Treuille
n'	ADV	advmod	eurent
eurent	ADV	ROOT	eurent
plus	ADV	obl:arg	eurent
qu'	SCONJ	mark	incliner
à	ADP	mark	incliner
s'	PRON	expl:comp	incliner
incliner	VERB	ccomp	eurent
devant	ADP	case	rivaux
leurs	DET	det	rivaux
rivaux	NOUN	obl:arg	incliner
d'	ADP	mark	outre-mer
outre-mer	VERB	xcomp	incliner
.	PUNCT	punct	eurent
Donc	ADV	advmod	tinrent
,	PUNCT	punct	tinrent
pendant	ADP	case	lutte
cette	DET	det	lutte
terrible	ADJ	amod	lutte
lutte	NOUN	obl:mod	tinrent
des	ADP	case	Nordistes
Nordistes	NOUN	nmod	lutte
et	CCONJ	cc	Sudistes
des	ADP	case	Sudistes
Sudistes	NOUN	conj	Nordistes
,	PUNCT	punct	lutte
les	DET	det	artilleurs
artilleurs	NOUN	nsubj	tinrent
tinrent	VERB	ROOT	tinrent
le	DET	det	haut
haut	ADJ	obj	tinrent
du	ADP	case	pavé
pavé	NOUN	nmod	haut
;	PUNCT	punct	tinrent
les	DET	det	journaux
journaux	NOUN	nsubj	célébraient
de	ADP	case	Union
l'	DET	det	Union
Union	PROPN	nmod	journaux
célébraient	VERB	ROOT	célébraient
leurs	DET	det	inventions
inventions	NOUN	obj	célébraient
avec	ADP	case	enthousiasme
enthousiasme	NOUN	nmod	inventions
,	PUNCT	punct	célébraient
et	CCONJ	cc	était
il	PRON	nsubj	était
n'	ADV	advmod	était
était	AUX	cop	mince
si	ADV	advmod	mince
mince	NOUN	obl:mod	célébraient
marchand	ADJ	amod	mince
,	PUNCT	punct	naïf
si	SCONJ	mark	naïf
naïf	VERB	conj	mince
«	PUNCT	nsubj	naïf
booby	PROPN	nsubj	naïf
»	PUNCT	punct	naïf
[	PUNCT	punct	mince
Badaud	PROPN	nmod	mince
.	PUNCT	punct	mince
]	PUNCT	punct	cassât
,	PUNCT	punct	cassât
qui	PRON	nsubj	cassât
ne	ADV	advmod	cassât
se	PRON	expl:comp	cassât
cassât	VERB	ROOT	cassât
jour	NOUN	obj	cassât
et	CCONJ	cc	nuit
nuit	VERB	conj	jour
la	DET	det	tête
tête	NOUN	obj	cassât
à	ADP	mark	calculer
calculer	VERB	xcomp	cassât
des	DET	det	trajectoires
trajectoires	NOUN	obj	calculer
insensées	VERB	acl	trajectoires
.	PUNCT	punct	cassât
Or	CCONJ	cc	cherche
,	PUNCT	punct	cherche
quand	SCONJ	mark	a
un	DET	det	Américain
Américain	NOUN	nsubj	a
a	VERB	advcl	cherche
une	DET	det	idée
idée	NOUN	obj	a
,	PUNCT	punct	cherche
il	PRON	nsubj	cherche
cherche	VERB	ROOT	cherche
un	DET	det	Américain
second	ADJ	amod	Américain
Américain	NOUN	obj	cherche
qui	PRON	nsubj	partage
la	DET	det	partage
partage	NOUN	acl:relcl	Américain
.	PUNCT	punct	cherche
Sont	VERB	ROOT	Sont
-ils	PRON	punct	Sont
trois	PRON	flat:name	Sont
,	PUNCT	punct	élisent
ils	PRON	nsubj	élisent
élisent	VERB	parataxis	Sont
un	DET	det	président
président	NOUN	obj	élisent
et	CCONJ	cc	secrétaires
deux	NUM	nummod	secrétaires
secrétaires	NOUN	conj	président
.	PUNCT	punct	Sont
Quatre	NOUN	advmod	nomment
,	PUNCT	punct	nomment
ils	PRON	nsubj	nomment
nomment	VERB	ROOT	nomment
un	DET	det	archiviste
archiviste	NOUN	obj	nomment
,	PUNCT	punct	nomment
et	CCONJ	cc	bureau
le	DET	det	bureau
bureau	NOUN	conj	nomment
fonctionne	ADJ	amod	bureau
.	PUNCT	punct	nomment
Cinq	NUM	obl:mod	convoquent
,	PUNCT	punct	convoquent
ils	PRON	nsubj	convoquent
se	PRON	expl:comp	convoquent
convoquent	VERB	ROOT	convoquent
en	ADP	case	assemblée
assemblée	NOUN	obl:mod	convoquent
générale	ADJ	amod	assemblée
,	PUNCT	punct	convoquent
et	CCONJ	cc	constitué
le	DET	det	club
club	NOUN	nsubj:pass	constitué
est	AUX	aux:pass	constitué
constitué	VERB	conj	convoquent
.	PUNCT	punct	convoquent
Ainsi	ADV	advmod	arriva
arriva	VERB	ROOT	arriva
-t	PRON	dep	arriva
-il	PRON	dep	arriva
à	ADP	case	Baltimore
Baltimore	PROPN	obl:arg	arriva
.	PUNCT	punct	arriva
Le	DET	det	premier
premier	ADJ	ROOT	premier
qui	PRON	nsubj	inventa
inventa	VERB	acl:relcl	premier
un	DET	det	canon
nouveau	ADJ	amod	canon
canon	NOUN	obj	inventa
s'	PRON	expl:pass	associa
associa	VERB	amod	canon
avec	ADP	case	premier
le	DET	det	premier
premier	ADJ	nmod	canon
qui	PRON	nsubj	fondit
le	DET	obj	fondit
fondit	NOUN	acl:relcl	premier
et	CCONJ	cc	premier
le	DET	det	premier
premier	ADJ	conj	fondit
qui	PRON	nsubj	fora
le	DET	det	fora
fora	PROPN	acl:relcl	premier
.	PUNCT	punct	premier
Tel	ADJ	ROOT	Tel
fut	AUX	cop	noyau
le	DET	det	noyau
noyau	NOUN	ccomp	Tel
du	ADP	case	Gun
Gun	PROPN	nmod	noyau
-	PROPN	nmod	noyau
Club	NOUN	nmod	noyau
[	PUNCT	punct	Tel
Littéralement	PROPN	ROOT	Littéralement
«	PROPN	flat:name	Littéralement
Club	NOUN	ROOT	Club
-	PROPN	ROOT	-
Canon».].	PROPN	ROOT	Canon».].
Un	DET	det	mois
mois	NOUN	nmod	formation
après	ADP	case	formation
sa	DET	det	formation
formation	NOUN	ROOT	formation
,	PUNCT	punct	comptait
il	PRON	nsubj	comptait
comptait	VERB	ROOT	comptait
dix-huit	PRON	xcomp	comptait
cent	NUM	punct	dix-huit
trente-trois	ADV	advmod	membres
membres	NOUN	ROOT	membres
effectifs	ADJ	amod	membres
et	CCONJ	cc	trente
trente	NUM	nummod	membres
mille	NUM	flat:name	trente
cinq	NUM	fixed	trente
cent	NUM	nmod	cinq
soixante-quinze	NUM	nummod	membres
membres	NOUN	ROOT	membres
correspondants	ADJ	amod	membres
.	PUNCT	punct	membres
Une	DET	det	condition
condition	NOUN	ROOT	condition
sine	ADJ	amod	condition
qua	PRON	obj	imposée
non	ADV	advmod	imposée
était	AUX	cop	imposée
imposée	VERB	acl	condition
à	ADP	case	personne
toute	DET	det	personne
personne	NOUN	obl:arg	imposée
qui	PRON	nsubj	voulait
voulait	VERB	acl:relcl	personne
entrer	VERB	advcl	perfectionné
dans	ADP	case	association
l'	DET	det	association
association	NOUN	obl:arg	entrer
,	PUNCT	punct	perfectionné
la	DET	det	condition
condition	NOUN	nsubj	perfectionné
d'	ADP	mark	imaginé
avoir	AUX	aux:tense	imaginé
imaginé	VERB	acl	condition
ou	CCONJ	cc	perfectionné
,	PUNCT	punct	perfectionné
tout	ADV	advmod	perfectionné
au	ADP	fixed	tout
moins	ADV	fixed	tout
,	PUNCT	punct	perfectionné
perfectionné	VERB	xcomp	voulait
un	DET	det	canon
canon	NOUN	obj	perfectionné
;	PUNCT	punct	condition
à	ADP	case	défaut
défaut	NOUN	obl:mod	arme
de	ADP	case	canon
canon	NOUN	nmod	défaut
,	PUNCT	punct	arme
une	DET	det	arme
arme	NOUN	ROOT	arme
à	ADP	case	feu
feu	NOUN	nmod	arme
quelconque	ADJ	amod	arme
.	PUNCT	punct	arme
Mais	CCONJ	cc	inventeurs
,	PUNCT	punct	inventeurs
pour	ADP	mark	dire
tout	ADV	advmod	dire
dire	VERB	nmod	inventeurs
,	PUNCT	punct	inventeurs
les	DET	det	inventeurs
inventeurs	NOUN	nsubj	jouissaient
de	ADP	case	revolvers
revolvers	NOUN	nmod	inventeurs
à	ADP	case	coups
quinze	NUM	nummod	coups
coups	NOUN	nmod	revolvers
,	PUNCT	punct	carabines
de	ADP	case	carabines
carabines	NOUN	conj	inventeurs
pivotantes	ADJ	amod	carabines
ou	CCONJ	cc	sabres
de	ADP	case	sabres
sabres	NOUN	conj	inventeurs
-	NOUN	nmod	inventeurs
pistolets	NOUN	nmod	inventeurs
ne	ADV	advmod	jouissaient
jouissaient	VERB	ROOT	jouissaient
pas	ADV	advmod	jouissaient
d'	ADP	case	considération
une	DET	det	considération
grande	ADJ	amod	considération
considération	NOUN	obl:arg	jouissaient
.	PUNCT	punct	jouissaient
Les	DET	det	artilleurs
artilleurs	NOUN	nsubj	primaient
les	DET	det	primaient
primaient	NOUN	ROOT	primaient
en	ADP	case	circonstance
toute	DET	det	circonstance
circonstance	NOUN	nmod	primaient
.	PUNCT	punct	primaient
«	PUNCT	ROOT	«
L'	DET	nsubj	estime
estime	VERB	advcl	dit
qu'	SCONJ	mark	obtiennent
ils	PRON	nsubj	obtiennent
obtiennent	VERB	ccomp	estime
,	PUNCT	punct	dit
dit	VERB	advcl	proportionnelle
un	DET	det	jour
jour	NOUN	obl:mod	dit
un	PRON	advmod	dit
des	ADP	case	savants
plus	ADV	advmod	savants
savants	NOUN	obl:arg	dit
orateurs	ADJ	amod	savants
du	ADP	case	Gun
Gun	PROPN	nmod	savants
-	PROPN	nmod	savants
Club	PROPN	nmod	savants
,	PUNCT	punct	proportionnelle
est	AUX	cop	proportionnelle
proportionnelle	ADJ	ROOT	proportionnelle
«	PUNCT	obl:mod	proportionnelle
aux	ADP	case	masses
masses	NOUN	obl:arg	proportionnelle
»	PUNCT	punct	proportionnelle
de	ADP	case	canon
leur	DET	det	canon
canon	NOUN	obl:arg	proportionnelle
,	PUNCT	punct	proportionnelle
et	CCONJ	cc	«
«	PUNCT	conj	proportionnelle
en	ADP	case	raison
raison	NOUN	obl:mod	proportionnelle
directe	ADJ	amod	raison
du	ADP	case	carré
carré	NOUN	nmod	raison
des	ADP	case	distances
distances	NOUN	nmod	carré
»	PUNCT	punct	carré
atteintes	VERB	acl	carré
par	ADP	case	projectiles
leurs	DET	det	projectiles
projectiles	NOUN	obl:agent	atteintes
!	PUNCT	punct	proportionnelle
»	PUNCT	ROOT	»
Un	DET	advmod	loi
peu	ADV	fixed	Un
plus	ADV	fixed	Un
,	PUNCT	punct	loi
c'	PRON	nsubj	loi
était	AUX	cop	loi
la	DET	det	loi
loi	NOUN	ROOT	loi
de	ADP	case	Newton
Newton	PROPN	nmod	loi
sur	ADP	case	gravitation
la	DET	det	gravitation
gravitation	NOUN	nmod	loi
universelle	ADJ	amod	gravitation
transportée	VERB	acl	loi
dans	ADP	case	ordre
l'	DET	det	ordre
ordre	NOUN	obl:mod	transportée
moral	ADJ	amod	ordre
.	PUNCT	punct	loi
Le	DET	det	Gun
Gun	PROPN	ROOT	Gun
-	NOUN	flat:name	Gun
Club	NOUN	nmod	Gun
fondé	VERB	acl	Club
,	PUNCT	punct	figure
on	PRON	nsubj	figure
se	PRON	expl:comp	figure
figure	VERB	aux:tense	aisément
aisément	VERB	ROOT	aisément
ce	PRON	obj	aisément
que	PRON	obj	produisit
produisit	VERB	acl:relcl	ce
en	ADP	case	genre
ce	DET	det	genre
genre	NOUN	obl:mod	produisit
le	DET	det	génie
génie	NOUN	nmod	genre
inventif	ADJ	amod	génie
des	ADP	case	Américains
Américains	NOUN	nmod	génie
.	PUNCT	punct	aisément
Les	DET	det	engins
engins	NOUN	nsubj	prirent
de	ADP	case	guerre
guerre	NOUN	nmod	engins
prirent	ADV	ROOT	prirent
des	DET	det	proportions
proportions	NOUN	obj	prirent
colossales	ADJ	amod	proportions
,	PUNCT	punct	prirent
et	CCONJ	cc	projectiles
les	DET	det	projectiles
projectiles	NOUN	conj	prirent
allèrent	ADV	advmod	projectiles
,	PUNCT	punct	au-delà
au-delà	ADV	conj	allèrent
des	ADP	case	limites
limites	NOUN	dep	au-delà
permises	NOUN	amod	limites
,	PUNCT	punct	couper
couper	VERB	acl	projectiles
en	ADP	advmod	couper
deux	NUM	fixed	en
les	DET	det	promeneurs
promeneurs	NOUN	obj	couper
inoffensifs	ADJ	amod	promeneurs
.	PUNCT	punct	prirent
Toutes	ADJ	amod	inventions
ces	DET	det	inventions
inventions	NOUN	nsubj	laissèrent
laissèrent	VERB	ROOT	laissèrent
loin	ADV	advmod	laissèrent
derrière	ADP	case	elles
elles	PRON	obl:arg	laissèrent
les	DET	det	timides
timides	NOUN	nmod	elles
instruments	ADJ	amod	timides
de	ADP	case	artillerie
l'	DET	det	artillerie
artillerie	NOUN	nmod	timides
européenne	ADJ	amod	artillerie
.	PUNCT	punct	laissèrent
Qu'	PRON	mark	juge
on	PRON	nsubj	juge
en	ADP	case	juge
juge	NOUN	ROOT	juge
par	ADP	case	chiffres
les	DET	det	chiffres
chiffres	NOUN	obl:agent	juge
suivants	ADJ	amod	chiffres
.	PUNCT	punct	juge
Jadis	PROPN	ROOT	Jadis
,	PUNCT	punct	Jadis
«	VERB	conj	Jadis
au	ADP	case	temps
bon	ADJ	amod	temps
temps	NOUN	nmod	«
»	PUNCT	punct	traversait
,	PUNCT	punct	traversait
un	DET	det	boulet
boulet	NOUN	nsubj	traversait
de	ADP	case	trente-six
trente-six	PROPN	nmod	boulet
,	PUNCT	punct	boulet
à	ADP	case	distance
une	DET	det	distance
distance	NOUN	nmod	boulet
de	ADP	case	cents
trois	NUM	nummod	cents
cents	NOUN	nmod	distance
pieds	ADJ	amod	cents
,	PUNCT	punct	traversait
traversait	VERB	ROOT	traversait
trente-six	NOUN	punct	traversait
chevaux	NOUN	ROOT	chevaux
pris	VERB	amod	chevaux
de	ADP	case	flanc
flanc	NOUN	obl:arg	pris
et	CCONJ	cc	soixante-huit
soixante-huit	NOUN	conj	pris
hommes	NOUN	nmod	soixante-huit
.	PUNCT	ROOT	.
C'	PRON	nsubj	enfance
était	AUX	cop	enfance
l'	DET	det	enfance
enfance	NOUN	ROOT	enfance
de	ADP	case	art
l'	DET	det	art
art	PROPN	nmod	enfance
.	PUNCT	punct	enfance
Depuis	ADP	advmod	fait
lors	ADV	fixed	Depuis
,	PUNCT	punct	fait
les	DET	det	projectiles
projectiles	NOUN	nsubj	fait
ont	AUX	aux:tense	fait
fait	VERB	ROOT	fait
du	ADP	det	chemin
chemin	NOUN	obj	fait
.	PUNCT	punct	fait
Le	DET	det	canon
canon	NOUN	ROOT	canon
Rodman	PROPN	flat:name	canon
,	PUNCT	punct	canon
qui	PRON	nsubj	portait
portait	VERB	acl:relcl	canon
à	ADP	case	milles
sept	NUM	nummod	milles
milles	NOUN	obl:arg	portait
[	PUNCT	punct	canon
Le	DET	det	mille
mille	NUM	nsubj	vaut
vaut	NOUN	ROOT	vaut
1609	NUM	nmod	vaut
mètres	NOUN	nmod	vaut
31	NUM	nummod	centimètres
centimètres	ADJ	nmod	mètres
.	PUNCT	punct	vaut
Cela	PRON	nsubj	fait
fait	VERB	ROOT	fait
donc	ADV	advmod	fait
près	ADV	advmod	lieues
de	ADP	dep	lieues
trois	NUM	nummod	lieues
lieues	NOUN	obj	fait
.	PUNCT	punct	fait
]	PUNCT	ROOT	]
un	DET	det	boulet
boulet	NOUN	punct	]
pesant	VERB	acl	boulet
une	DET	det	demi-tonne
demi-tonne	NOUN	obj	pesant
[	PUNCT	punct	boulet
Cinq	NUM	nummod	cents
cents	NOUN	nmod	boulet
kilogrammes	NOUN	nmod	cents
.	PUNCT	punct	boulet
]	PUNCT	punct	renversé
aurait	AUX	aux:tense	renversé
facilement	ADV	advmod	renversé
renversé	VERB	ROOT	renversé
cent	NUM	nummod	chevaux
cinquante	NUM	nummod	chevaux
chevaux	NOUN	obl:arg	renversé
et	CCONJ	cc	cents
trois	NUM	nummod	cents
cents	NOUN	conj	chevaux
hommes	NOUN	nmod	cents
.	PUNCT	punct	renversé
Il	PRON	expl:subj	question
fut	AUX	cop	question
même	ADV	advmod	question
question	NOUN	ROOT	question
au	ADP	case	Gun
Gun	PROPN	obl:arg	question
-	PROPN	flat:name	question
Club	NOUN	nmod	question
d'	ADP	mark	faire
en	PRON	iobj	faire
faire	VERB	xcomp	question
une	DET	det	épreuve
épreuve	NOUN	obj	faire
solennelle	ADJ	amod	épreuve
.	PUNCT	punct	question
Mais	CCONJ	cc	consentirent
,	PUNCT	punct	consentirent
si	SCONJ	mark	consentirent
les	DET	det	chevaux
chevaux	NOUN	nsubj	consentirent
